,Occupancy Type,Zones,Value,Unit
0,Working Hours,Zone 3,24.4050000375,Operative Temp. [deg. C]
1,Working Hours,Zone 3,24.4589999813,Operative Temp. [deg. C]
2,Working Hours,Zone 3,24.407361125,Operative Temp. [deg. C]
3,Working Hours,Zone 3,24.3401250313,Operative Temp. [deg. C]
4,Working Hours,Zone 3,24.2451389583,Operative Temp. [deg. C]
5,Working Hours,Zone 3,24.159749775,Operative Temp. [deg. C]
6,Working Hours,Zone 3,24.1194997563,Operative Temp. [deg. C]
7,Working Hours,Zone 3,24.1626388334,Operative Temp. [deg. C]
8,Working Hours,Zone 3,24.11624995,Operative Temp. [deg. C]
9,Working Hours,Zone 3,24.1243054097,Operative Temp. [deg. C]
10,Working Hours,Zone 3,24.084749775,Operative Temp. [deg. C]
11,Working Hours,Zone 3,24.0996250188,Operative Temp. [deg. C]
12,Working Hours,Zone 3,24.0713889236,Operative Temp. [deg. C]
13,Working Hours,Zone 3,24.073874825,Operative Temp. [deg. C]
14,Working Hours,Zone 3,24.1556942778,Operative Temp. [deg. C]
15,Working Hours,Zone 3,24.2713750375,Operative Temp. [deg. C]
16,Working Hours,Zone 3,24.1993749687,Operative Temp. [deg. C]
17,Working Hours,Zone 3,24.1015275139,Operative Temp. [deg. C]
18,Working Hours,Zone 3,24.0588747313,Operative Temp. [deg. C]
19,Working Hours,Zone 3,24.0029166875,Operative Temp. [deg. C]
20,Working Hours,Zone 3,24.01837485,Operative Temp. [deg. C]
21,Working Hours,Zone 3,23.962500075,Operative Temp. [deg. C]
22,Working Hours,Zone 3,23.9963889236,Operative Temp. [deg. C]
23,Working Hours,Zone 3,24.0913750688,Operative Temp. [deg. C]
24,Working Hours,Zone 3,24.086249868,Operative Temp. [deg. C]
25,Working Hours,Zone 3,24.1587500375,Operative Temp. [deg. C]
26,Working Hours,Zone 3,24.1209999063,Operative Temp. [deg. C]
27,Working Hours,Zone 3,24.1033334305,Operative Temp. [deg. C]
28,Working Hours,Zone 3,24.0727498875,Operative Temp. [deg. C]
29,Working Hours,Zone 3,24.122499875,Operative Temp. [deg. C]
30,Working Hours,Zone 3,24.2077501625,Operative Temp. [deg. C]
31,Working Hours,Zone 3,24.176750075,Operative Temp. [deg. C]
32,Working Hours,Zone 3,24.1219444236,Operative Temp. [deg. C]
33,Working Hours,Zone 3,24.1637498438,Operative Temp. [deg. C]
34,Working Hours,Zone 3,24.2341251813,Operative Temp. [deg. C]
35,Working Hours,Zone 3,24.1565278125,Operative Temp. [deg. C]
36,Working Hours,Zone 3,24.1393750313,Operative Temp. [deg. C]
37,Working Hours,Zone 3,24.1887499931,Operative Temp. [deg. C]
38,Working Hours,Zone 3,24.188,Operative Temp. [deg. C]
39,Working Hours,Zone 3,24.1751249625,Operative Temp. [deg. C]
40,Working Hours,Zone 3,24.1688888889,Operative Temp. [deg. C]
41,Working Hours,Zone 3,24.218000075,Operative Temp. [deg. C]
42,Working Hours,Zone 3,24.1976388403,Operative Temp. [deg. C]
43,Working Hours,Zone 3,24.1342499375,Operative Temp. [deg. C]
44,Working Hours,Zone 3,24.1025001563,Operative Temp. [deg. C]
45,Working Hours,Zone 3,24.0884722014,Operative Temp. [deg. C]
46,Working Hours,Zone 3,24.0481249063,Operative Temp. [deg. C]
47,Working Hours,Zone 3,23.9141668958,Operative Temp. [deg. C]
48,Working Hours,Zone 3,23.9228748187,Operative Temp. [deg. C]
49,Working Hours,Zone 3,24.910277743,Operative Temp. [deg. C]
50,Working Hours,Zone 3,24.8398750812,Operative Temp. [deg. C]
51,Working Hours,Zone 3,24.7147221945,Operative Temp. [deg. C]
52,Working Hours,Zone 3,24.67537495,Operative Temp. [deg. C]
53,Working Hours,Zone 3,24.5839997625,Operative Temp. [deg. C]
54,Working Hours,Zone 3,24.4949997778,Operative Temp. [deg. C]
55,Working Hours,Zone 3,24.7547498125,Operative Temp. [deg. C]
56,Working Hours,Zone 3,24.9815278542,Operative Temp. [deg. C]
57,Working Hours,Zone 3,25.1353750812,Operative Temp. [deg. C]
58,Working Hours,Zone 3,25.2370834722,Operative Temp. [deg. C]
59,Working Hours,Zone 3,25.43824985,Operative Temp. [deg. C]
60,Working Hours,Zone 3,25.296249868,Operative Temp. [deg. C]
61,Working Hours,Zone 3,25.2838749375,Operative Temp. [deg. C]
62,Working Hours,Zone 3,25.1672498188,Operative Temp. [deg. C]
63,Working Hours,Zone 3,25.1904166181,Operative Temp. [deg. C]
64,Working Hours,Zone 3,25.0463887222,Operative Temp. [deg. C]
65,Working Hours,Zone 3,24.9678748688,Operative Temp. [deg. C]
66,Working Hours,Zone 3,24.8240277014,Operative Temp. [deg. C]
67,Working Hours,Zone 3,24.8061252,Operative Temp. [deg. C]
68,Working Hours,Zone 3,24.7333748938,Operative Temp. [deg. C]
69,Working Hours,Zone 3,24.7479166458,Operative Temp. [deg. C]
70,Working Hours,Zone 3,24.7668056528,Operative Temp. [deg. C]
71,Working Hours,Zone 3,24.6643749687,Operative Temp. [deg. C]
72,Working Hours,Zone 3,24.7105555625,Operative Temp. [deg. C]
73,Working Hours,Zone 3,24.5972499875,Operative Temp. [deg. C]
74,Working Hours,Zone 3,24.5136112083,Operative Temp. [deg. C]
75,Working Hours,Zone 3,24.5252498812,Operative Temp. [deg. C]
76,Working Hours,Zone 3,24.5339999687,Operative Temp. [deg. C]
77,Working Hours,Zone 3,24.5029167083,Operative Temp. [deg. C]
78,Working Hours,Zone 3,24.4283332848,Operative Temp. [deg. C]
79,Working Hours,Zone 3,24.4422499375,Operative Temp. [deg. C]
80,Working Hours,Zone 3,24.4033751875,Operative Temp. [deg. C]
81,Working Hours,Zone 3,24.6604165417,Operative Temp. [deg. C]
82,Working Hours,Zone 3,24.733055625,Operative Temp. [deg. C]
83,Working Hours,Zone 3,24.6213747938,Operative Temp. [deg. C]
84,Working Hours,Zone 3,24.5399996944,Operative Temp. [deg. C]
85,Working Hours,Zone 3,24.6212499625,Operative Temp. [deg. C]
86,Working Hours,Zone 3,24.6571250062,Operative Temp. [deg. C]
87,Working Hours,Zone 3,24.6820834306,Operative Temp. [deg. C]
88,Working Hours,Zone 3,24.6581946181,Operative Temp. [deg. C]
89,Working Hours,Zone 3,24.5237500465,Operative Temp. [deg. C]
90,Working Hours,Zone 3,24.5334997437,Operative Temp. [deg. C]
91,Working Hours,Zone 3,24.5222221597,Operative Temp. [deg. C]
92,Working Hours,Zone 3,24.4498747438,Operative Temp. [deg. C]
93,Working Hours,Zone 3,24.4297222083,Operative Temp. [deg. C]
94,Working Hours,Zone 3,24.4909998625,Operative Temp. [deg. C]
95,Working Hours,Zone 3,24.3680553819,Operative Temp. [deg. C]
96,Working Hours,Zone 3,24.2893746375,Operative Temp. [deg. C]
97,Working Hours,Zone 3,24.1722500125,Operative Temp. [deg. C]
98,Working Hours,Zone 3,24.7062498125,Operative Temp. [deg. C]
99,Working Hours,Zone 3,24.7180552986,Operative Temp. [deg. C]
100,Working Hours,Zone 3,24.6688747437,Operative Temp. [deg. C]
101,Working Hours,Zone 3,24.7189997188,Operative Temp. [deg. C]
102,Working Hours,Zone 3,24.6722218681,Operative Temp. [deg. C]
103,Working Hours,Zone 3,24.784000025,Operative Temp. [deg. C]
104,Working Hours,Zone 3,24.9516666528,Operative Temp. [deg. C]
105,Working Hours,Zone 3,25.0045000313,Operative Temp. [deg. C]
106,Working Hours,Zone 3,25.0858337222,Operative Temp. [deg. C]
107,Working Hours,Zone 3,24.9543750563,Operative Temp. [deg. C]
108,Working Hours,Zone 3,24.9888750938,Operative Temp. [deg. C]
109,Working Hours,Zone 3,24.9437502569,Operative Temp. [deg. C]
110,Working Hours,Zone 3,24.8769446111,Operative Temp. [deg. C]
111,Working Hours,Zone 3,24.8228751187,Operative Temp. [deg. C]
112,Working Hours,Zone 3,24.7358749563,Operative Temp. [deg. C]
113,Working Hours,Zone 3,24.7425000417,Operative Temp. [deg. C]
114,Working Hours,Zone 3,24.6647499625,Operative Temp. [deg. C]
115,Working Hours,Zone 3,24.6330555694,Operative Temp. [deg. C]
116,Working Hours,Zone 3,24.5213750313,Operative Temp. [deg. C]
117,Working Hours,Zone 3,24.5168056458,Operative Temp. [deg. C]
118,Working Hours,Zone 3,24.5050000625,Operative Temp. [deg. C]
119,Working Hours,Zone 3,24.5434583896,Operative Temp. [deg. C]
120,Working Hours,Zone 3,24.5929581903,Operative Temp. [deg. C]
121,Working Hours,Zone 3,24.60987505,Operative Temp. [deg. C]
122,Working Hours,Zone 3,24.6365277708,Operative Temp. [deg. C]
123,Working Hours,Zone 3,24.5807500938,Operative Temp. [deg. C]
124,Working Hours,Zone 3,24.4968055,Operative Temp. [deg. C]
125,Working Hours,Zone 3,24.4016250125,Operative Temp. [deg. C]
126,Working Hours,Zone 3,24.3790001563,Operative Temp. [deg. C]
127,Working Hours,Zone 3,24.2798611875,Operative Temp. [deg. C]
128,Working Hours,Zone 3,24.4016667431,Operative Temp. [deg. C]
129,Working Hours,Zone 3,24.3710002125,Operative Temp. [deg. C]
130,Working Hours,Zone 3,24.3180001062,Operative Temp. [deg. C]
131,Working Hours,Zone 3,24.4374998333,Operative Temp. [deg. C]
132,Working Hours,Zone 3,24.5856250313,Operative Temp. [deg. C]
133,Working Hours,Zone 3,24.6605559305,Operative Temp. [deg. C]
134,Working Hours,Zone 3,24.6773751375,Operative Temp. [deg. C]
135,Working Hours,Zone 3,24.669625225,Operative Temp. [deg. C]
136,Working Hours,Zone 3,24.6719445764,Operative Temp. [deg. C]
137,Working Hours,Zone 3,24.7253746812,Operative Temp. [deg. C]
138,Working Hours,Zone 3,24.8059443451,Operative Temp. [deg. C]
139,Working Hours,Zone 3,24.8164719382,Operative Temp. [deg. C]
140,Working Hours,Zone 3,24.8323748687,Operative Temp. [deg. C]
141,Working Hours,Zone 3,24.8468055208,Operative Temp. [deg. C]
142,Working Hours,Zone 3,24.8172499687,Operative Temp. [deg. C]
143,Working Hours,Zone 3,24.7055000938,Operative Temp. [deg. C]
144,Working Hours,Zone 3,24.8408334167,Operative Temp. [deg. C]
145,Working Hours,Zone 3,24.8322499375,Operative Temp. [deg. C]
146,Working Hours,Zone 3,24.741111007,Operative Temp. [deg. C]
147,Working Hours,Zone 3,25.4476389028,Operative Temp. [deg. C]
148,Working Hours,Zone 3,25.4824999875,Operative Temp. [deg. C]
149,Working Hours,Zone 3,25.6111250438,Operative Temp. [deg. C]
150,Working Hours,Zone 3,25.5650002153,Operative Temp. [deg. C]
151,Working Hours,Zone 3,25.6173753812,Operative Temp. [deg. C]
152,Working Hours,Zone 3,25.6058335417,Operative Temp. [deg. C]
153,Working Hours,Zone 3,25.659999975,Operative Temp. [deg. C]
154,Working Hours,Zone 3,25.7427778472,Operative Temp. [deg. C]
155,Working Hours,Zone 3,25.7073609722,Operative Temp. [deg. C]
156,Working Hours,Zone 3,25.7408332223,Operative Temp. [deg. C]
157,Working Hours,Zone 3,25.7715276181,Operative Temp. [deg. C]
158,Working Hours,Zone 3,25.671625025,Operative Temp. [deg. C]
159,Working Hours,Zone 3,25.8202499563,Operative Temp. [deg. C]
160,Working Hours,Zone 3,25.8961111806,Operative Temp. [deg. C]
161,Working Hours,Zone 3,25.8758749937,Operative Temp. [deg. C]
162,Working Hours,Zone 3,25.8690277986,Operative Temp. [deg. C]
163,Working Hours,Zone 3,25.89650005,Operative Temp. [deg. C]
164,Working Hours,Zone 3,25.81474995,Operative Temp. [deg. C]
165,Working Hours,Zone 3,25.8208331736,Operative Temp. [deg. C]
166,Working Hours,Zone 3,25.8368749562,Operative Temp. [deg. C]
167,Working Hours,Zone 3,25.8686111458,Operative Temp. [deg. C]
168,Working Hours,Zone 3,25.745250025,Operative Temp. [deg. C]
169,Working Hours,Zone 3,25.6877774931,Operative Temp. [deg. C]
170,Working Hours,Zone 3,25.6051389583,Operative Temp. [deg. C]
171,Working Hours,Zone 3,25.7277499688,Operative Temp. [deg. C]
172,Working Hours,Zone 3,25.7151387639,Operative Temp. [deg. C]
173,Working Hours,Zone 3,25.76187505,Operative Temp. [deg. C]
174,Working Hours,Zone 3,25.7209999937,Operative Temp. [deg. C]
175,Working Hours,Zone 3,25.7576387778,Operative Temp. [deg. C]
176,Working Hours,Zone 3,25.7368749688,Operative Temp. [deg. C]
177,Working Hours,Zone 3,25.6934720556,Operative Temp. [deg. C]
178,Working Hours,Zone 3,25.7493749687,Operative Temp. [deg. C]
179,Working Hours,Zone 3,25.7101248938,Operative Temp. [deg. C]
180,Working Hours,Zone 3,25.7005555069,Operative Temp. [deg. C]
181,Working Hours,Zone 3,25.683624925,Operative Temp. [deg. C]
182,Working Hours,Zone 3,25.7404166806,Operative Temp. [deg. C]
183,Working Hours,Zone 3,25.7548749437,Operative Temp. [deg. C]
184,Working Hours,Zone 3,25.8877499438,Operative Temp. [deg. C]
185,Working Hours,Zone 3,25.8551390694,Operative Temp. [deg. C]
186,Working Hours,Zone 3,25.8250001562,Operative Temp. [deg. C]
187,Working Hours,Zone 3,25.9243748187,Operative Temp. [deg. C]
188,Working Hours,Zone 3,25.8276390625,Operative Temp. [deg. C]
189,Working Hours,Zone 3,25.8260000875,Operative Temp. [deg. C]
190,Working Hours,Zone 3,26.0381944861,Operative Temp. [deg. C]
191,Working Hours,Zone 3,25.9492501188,Operative Temp. [deg. C]
192,Working Hours,Zone 3,25.8063888611,Operative Temp. [deg. C]
193,Working Hours,Zone 3,25.62949995,Operative Temp. [deg. C]
194,Working Hours,Zone 3,25.5500000437,Operative Temp. [deg. C]
195,Working Hours,Zone 3,25.6934721875,Operative Temp. [deg. C]
196,Working Hours,Zone 3,25.6443750812,Operative Temp. [deg. C]
197,Working Hours,Zone 3,25.6530554653,Operative Temp. [deg. C]
198,Working Hours,Zone 3,25.6901249813,Operative Temp. [deg. C]
199,Working Hours,Zone 3,25.5530555903,Operative Temp. [deg. C]
200,Working Hours,Zone 3,25.4534722569,Operative Temp. [deg. C]
201,Working Hours,Zone 3,25.5730003688,Operative Temp. [deg. C]
202,Working Hours,Zone 3,25.5927500625,Operative Temp. [deg. C]
203,Working Hours,Zone 3,25.3676388264,Operative Temp. [deg. C]
204,Working Hours,Zone 3,25.3717500437,Operative Temp. [deg. C]
205,Working Hours,Zone 3,25.3423748,Operative Temp. [deg. C]
206,Working Hours,Zone 3,25.4220834305,Operative Temp. [deg. C]
207,Working Hours,Zone 3,25.4398749313,Operative Temp. [deg. C]
208,Working Hours,Zone 3,25.3858332222,Operative Temp. [deg. C]
209,Working Hours,Zone 3,25.3418750437,Operative Temp. [deg. C]
210,Working Hours,Zone 3,25.2756944306,Operative Temp. [deg. C]
211,Working Hours,Zone 3,25.26912485,Operative Temp. [deg. C]
212,Working Hours,Zone 3,25.2647221667,Operative Temp. [deg. C]
213,Working Hours,Zone 3,25.20550005,Operative Temp. [deg. C]
214,Working Hours,Zone 3,25.141875275,Operative Temp. [deg. C]
215,Working Hours,Zone 3,25.1397222292,Operative Temp. [deg. C]
216,Working Hours,Zone 3,25.1296248938,Operative Temp. [deg. C]
217,Working Hours,Zone 3,25.0472225417,Operative Temp. [deg. C]
218,Working Hours,Zone 3,24.9403751,Operative Temp. [deg. C]
219,Working Hours,Zone 3,24.938888993,Operative Temp. [deg. C]
220,Working Hours,Zone 3,24.8552498125,Operative Temp. [deg. C]
221,Working Hours,Zone 3,24.8853749687,Operative Temp. [deg. C]
222,Working Hours,Zone 3,24.8929166667,Operative Temp. [deg. C]
223,Working Hours,Zone 3,24.8853333174,Operative Temp. [deg. C]
224,Working Hours,Zone 3,24.8717499312,Operative Temp. [deg. C]
225,Working Hours,Zone 3,24.9740001875,Operative Temp. [deg. C]
226,Working Hours,Zone 3,24.9990279722,Operative Temp. [deg. C]
227,Working Hours,Zone 3,25.0561251125,Operative Temp. [deg. C]
228,Working Hours,Zone 3,25.0568056736,Operative Temp. [deg. C]
229,Working Hours,Zone 3,25.0157501875,Operative Temp. [deg. C]
230,Working Hours,Zone 3,25.1391247813,Operative Temp. [deg. C]
231,Working Hours,Zone 3,25.2021872969,Operative Temp. [deg. C]
232,Working Hours,Zone 3,25.25487505,Operative Temp. [deg. C]
233,Working Hours,Zone 3,25.250139,Operative Temp. [deg. C]
234,Working Hours,Zone 3,25.2330000313,Operative Temp. [deg. C]
235,Working Hours,Zone 3,25.0541666111,Operative Temp. [deg. C]
236,Working Hours,Zone 3,24.9761251938,Operative Temp. [deg. C]
237,Working Hours,Zone 3,24.892875125,Operative Temp. [deg. C]
238,Working Hours,Zone 3,24.9366668889,Operative Temp. [deg. C]
239,Working Hours,Zone 3,24.8277500687,Operative Temp. [deg. C]
240,Working Hours,Zone 3,24.957083375,Operative Temp. [deg. C]
241,Working Hours,Zone 3,24.886250175,Operative Temp. [deg. C]
242,Working Hours,Zone 3,24.7362499688,Operative Temp. [deg. C]
243,Working Hours,Zone 3,24.6663888819,Operative Temp. [deg. C]
244,Working Hours,Zone 3,24.8505001062,Operative Temp. [deg. C]
245,Working Hours,Zone 3,25.4747222639,Operative Temp. [deg. C]
246,Working Hours,Zone 3,25.376625075,Operative Temp. [deg. C]
247,Working Hours,Zone 3,25.2743055903,Operative Temp. [deg. C]
248,Working Hours,Zone 3,25.26125,Operative Temp. [deg. C]
249,Working Hours,Zone 3,25.1427499438,Operative Temp. [deg. C]
250,Working Hours,Zone 3,25.0037501125,Operative Temp. [deg. C]
251,Working Hours,Zone 3,25.0095833958,Operative Temp. [deg. C]
252,Working Hours,Zone 3,25.0807501625,Operative Temp. [deg. C]
253,Working Hours,Zone 3,25.1234722569,Operative Temp. [deg. C]
254,Working Hours,Zone 3,25.1526250687,Operative Temp. [deg. C]
255,Working Hours,Zone 3,25.3193057292,Operative Temp. [deg. C]
256,Working Hours,Zone 3,25.3219998687,Operative Temp. [deg. C]
257,Working Hours,Zone 3,25.398000075,Operative Temp. [deg. C]
258,Working Hours,Zone 3,25.3588887083,Operative Temp. [deg. C]
259,Working Hours,Zone 3,25.4403751313,Operative Temp. [deg. C]
260,Working Hours,Zone 3,25.3922222917,Operative Temp. [deg. C]
261,Working Hours,Zone 3,25.3726248187,Operative Temp. [deg. C]
262,Working Hours,Zone 3,25.363499925,Operative Temp. [deg. C]
263,Working Hours,Zone 3,25.2073609653,Operative Temp. [deg. C]
264,Working Hours,Zone 3,25.2091251438,Operative Temp. [deg. C]
265,Working Hours,Zone 3,25.1444445347,Operative Temp. [deg. C]
266,Working Hours,Zone 3,25.0732500438,Operative Temp. [deg. C]
267,Working Hours,Zone 3,25.03712515,Operative Temp. [deg. C]
268,Working Hours,Zone 3,25.0449999097,Operative Temp. [deg. C]
269,Working Hours,Zone 3,25.1044998625,Operative Temp. [deg. C]
270,Working Hours,Zone 3,25.1737499791,Operative Temp. [deg. C]
271,Working Hours,Zone 3,,Operative Temp. [deg. C]
272,Working Hours,Zone 3,,Operative Temp. [deg. C]
273,Working Hours,Zone 3,,Operative Temp. [deg. C]
274,Working Hours,Zone 3,,Operative Temp. [deg. C]
275,Working Hours,Zone 3,,Operative Temp. [deg. C]
276,Working Hours,Zone 3,,Operative Temp. [deg. C]
277,Working Hours,Zone 3,,Operative Temp. [deg. C]
278,Working Hours,Zone 3,,Operative Temp. [deg. C]
279,Working Hours,Zone 3,,Operative Temp. [deg. C]
280,Working Hours,Zone 3,,Operative Temp. [deg. C]
281,Working Hours,Zone 3,,Operative Temp. [deg. C]
282,Working Hours,Zone 3,,Operative Temp. [deg. C]
283,Working Hours,Zone 3,,Operative Temp. [deg. C]
284,Working Hours,Zone 3,,Operative Temp. [deg. C]
285,Working Hours,Zone 3,24.7021875156,Operative Temp. [deg. C]
286,Working Hours,Zone 3,24.5760415416,Operative Temp. [deg. C]
287,Working Hours,Zone 3,,Operative Temp. [deg. C]
288,Working Hours,Zone 3,,Operative Temp. [deg. C]
289,Working Hours,Zone 3,,Operative Temp. [deg. C]
290,Working Hours,Zone 3,,Operative Temp. [deg. C]
291,Working Hours,Zone 3,,Operative Temp. [deg. C]
292,Working Hours,Zone 3,24.4174995,Operative Temp. [deg. C]
293,Working Hours,Zone 3,24.8937501875,Operative Temp. [deg. C]
294,Non-working Hours,Zone 3,25.3941666875,Operative Temp. [deg. C]
295,Non-working Hours,Zone 3,25.4373752063,Operative Temp. [deg. C]
296,Non-working Hours,Zone 3,25.4390281181,Operative Temp. [deg. C]
297,Non-working Hours,Zone 3,25.4440001625,Operative Temp. [deg. C]
298,Non-working Hours,Zone 3,25.4892502937,Operative Temp. [deg. C]
299,Non-working Hours,Zone 3,25.5340274653,Operative Temp. [deg. C]
300,Non-working Hours,Zone 3,25.566499775,Operative Temp. [deg. C]
301,Non-working Hours,Zone 3,25.5591245812,Operative Temp. [deg. C]
302,Non-working Hours,Zone 3,25.5708330069,Operative Temp. [deg. C]
303,Non-working Hours,Zone 3,25.5522494562,Operative Temp. [deg. C]
304,Non-working Hours,Zone 3,25.5936108819,Operative Temp. [deg. C]
305,Non-working Hours,Zone 3,25.6143749125,Operative Temp. [deg. C]
306,Non-working Hours,Zone 3,25.6478749063,Operative Temp. [deg. C]
307,Non-working Hours,Zone 3,25.6844444167,Operative Temp. [deg. C]
